timestamp_sec,v_adc,v_bat
0,1.9952,3.9905
30,2.0622,4.1245
60,2.0487,4.0974
90,2.0438,4.0875
120,2.0634,4.1268
150,2.0639,4.1278
180,2.0632,4.1264
210,2.0633,4.1266
240,2.0633,4.1265
270,2.0623,4.1246
300,2.0632,4.1264
330,2.0637,4.1274
360,2.0429,4.0859
390,2.0638,4.1276
420,2.0640,4.1280
450,2.0625,4.1250
480,2.0634,4.1268
510,2.0635,4.1270
540,2.0420,4.0840
570,2.0631,4.1261
600,2.0427,4.0854
630,2.0630,4.1260
660,2.0629,4.1259
690,2.0639,4.1278
720,2.0646,4.1291
750,2.0427,4.0854
780,2.0628,4.1255
810,2.0421,4.0843
840,2.0425,4.0850
870,2.0531,4.1062
900,2.0633,4.1266
930,2.0436,4.0871
960,2.0423,4.0846
990,2.0629,4.1258
1020,2.0630,4.1260
1050,2.0623,4.1246
1080,2.0359,4.0719
1110,2.0361,4.0721
1140,2.0726,4.1451
1170,2.0740,4.1480
1200,2.0523,4.1046
1230,2.0739,4.1479
1260,2.0525,4.1050
1290,2.0743,4.1486
1320,2.0739,4.1478
1350,2.0734,4.1468
1380,2.0745,4.1490
1410,2.0744,4.1489
1440,2.0739,4.1478
1470,2.0740,4.1480
1500,2.0739,4.1478
1530,2.0743,4.1486
1560,2.0745,4.1490
1590,2.0749,4.1499
1620,2.0744,4.1487
1650,2.0743,4.1486
1680,2.0689,4.1378
1710,2.0528,4.1055
1740,2.0748,4.1496
1770,2.0749,4.1498
1800,2.0533,4.1065
1830,2.0752,4.1504
1860,2.0744,4.1489
1890,2.0536,4.1071
1920,2.0757,4.1514
1950,2.0749,4.1499
1980,2.0749,4.1498
2010,2.0751,4.1501
2040,2.0749,4.1498
2070,2.0746,4.1491
2100,2.0744,4.1487
2130,2.0751,4.1503
2160,2.0749,4.1498
2190,2.0546,4.1091
2220,2.0536,4.1071
2250,2.0542,4.1084
2280,2.0745,4.1490
2310,2.0744,4.1489
2340,2.0751,4.1503
